document_name,ad_id,ad_text,ad_landing_page,ad_impressions,ad_clicks,ad_spend,currency,ad_creation_date,ad_creation_year,ad_creation_month,ad_creation_day,ad_end_date,target_age,target_location,location_country,location_state1,location_state2,location_state3,location_state4,location_state5,location_city1,location_city2,location_city3,location_city4,location_city5,target_language,target_pplwhomatch,ad_targeting_fulltext
P(1)0000001.pdf,5,WHERE is your VOICE?,https://www.facebook.com/GovSpending-1651761351759857/,29786,201,3714.15,RUB,2016-06-15T03:39:52Z,2016,6,15,NA,18 - 65+,Living In: United States: Georgia,United States,GA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Interests: Understanding racial segregation in the united
                                         states, American Black Film Festival, Cop Block or HuffPost Black Voices,
                                          Behaviors: African American (US), Field of study: African-American history,
                                         Politics: Likely to engage with political content (liberal)","Location - Living In: United States: Georgia Age: 18 - 65+ Placements: Instagram Feed People Who Match: Interests: Understanding racial segregation in the united states, American Black Film Festival, Cop Block or HuffPost Black Voices, Behaviors: African American (US), Field of study: African-American history, Politics: Likely to engage with political content (liberal)"
P(1)0000002.pdf,12,"It's time for us to understand that we do deserve all best. It's time for our
                                          people to stand up and use all the opportunities of this life. Follow black pride
                                         us, if you agree!",https://www.facebook.com/Bat-240131319678646/,44111,625,4893.72,RUB,2016-08-17T04:17:52Z,2016,8,17,NA,18 - 65+,Location: United States,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English (US),"Interests: Martin Luther King, Jr., Black Power, Black Arts
                                          Movement, Fight the Power, Black Panther Party, Afrocentrism, My Black is
                                          Beautiful, Black is beautiful, Malcolm X or HuffPost Black Voices","Location: United States Age: 18 - 65+ Language: English (US) Placements: Instagram Feed People Who Match: Interests: Martin Luther King, Jr., Black Power, Black Arts Movement, Fight the Power, Black Panther Party, Afrocentrism, My Black is Beautiful, Black is beautiful, Malcolm X or HuffPost Black Voices"
P(1)0000003.pdf,16,"A Wounded Warrior and his service dog. Support our Veterans - Follow: The
                                          US Gov Spending Stats Instalol",https://www.instagram.com/veterans_us/,21.093,53,2131.44,RUB,2016-05-12T02:37:39Z,2016,5,12,NA,14 - 65+,Location: United States,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English (US),"Interests: Wounded Warrior Project, Support our troops,
                                         Veterans, AMVETS, Disabled American Veterans, Chris Kyle or Supporting
                                          Our Veterans
                                         And Must Also Match: Interests Paralyzed Veterans of America. Veterans
                                          Day, Wounded Warrior Project; Support our troops, Veterans, AMVETS;
                                          United States Army Reserve, Patriotism, Disabled American Veterans; The
                                         Veterans Site, Chris Kyle or Supporting Our Veterans","Location: United States Age: 14 - 65+ Language: English (US) Placements: Instagram Feed People Who Match: Interests: Wounded Warrior Project, Support our troops, Veterans, AMVETS, Disabled American Veterans, Chris Kyle or Supporting Our Veterans And Must Also Match: Interests Paralyzed Veterans of America. Veterans Day, Wounded Warrior Project; Support our troops, Veterans, AMVETS; United States Army Reserve, Patriotism, Disabled American Veterans; The Veterans Site, Chris Kyle or Supporting Our Veterans"
P(1)0000005.pdf,24,"TAG YOUR PHOTOS WITH #TXagainst Send us the reason why don't you
                                         want illegals in Texas.
                                         Comments, photos, and videos are welcomed!",https://www.facebook.com/GovSpending-1651761351759857/,77759,9,6618.25,RUB,2016-04-20T00:07:11Z,2016,4,20,NA,18 - 65+,Location: United States,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English (US),,Location: United States Interests: Independence or Patriotism Age: 18 - 65+ Language: English (US) Placements: Instagram Feed
P(1)0000007.pdf,25,"Homeland of brave. Support our veterans! Join us! Veterans USA
                                         GovSpending",https://instagram.com/veterans_us/,3970,35,1401.8,RUB,2015-11-09T05:01:08Z,2015,11,9,NA,18 - 65+,Location: United States,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English (US),,Location: United States Interests: Veterans Age: 18 - 65+ Language: English (US) Placements: Instagram Feed
P(1)0000009.pdf,29,"What do you know about PTSD? Do you know that US Military deaths since
                                         1999 count 6,904, while veterans suicides since 1999 account for 128,480?
                                         We'are losing 18 times more warriors in civilian life than on the battlefields!
                                         Learn more! Follow us! Veterans USA( @veterans GovSpending",https:Hinstagram.com/veterans_us/,3527,33,1506.21,RUB,2015-11-12T04:38:35Z,2015,11,12,NA,18 - 65+,Location: United States,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English (US),,Location: United States Interests: Patient Protection and Affordable Care Act or Supporting Our Veterans Age: 18 - 65+ Language: English (US) Placements: Instagram Feed
P(1)0000011.pdf,30,"Click learn more! People don't want to look at the homeless. But maybe they
                                         will look at, or think about, or support dealing with homelessness once they
                                         know that 12% of the homeless adult population are veterans. Join us!
                                         Veterans USA( @veterans GovSpending",https:Hinstagram.com/veterans_us/,0,0,0,NA,2015-11-19T05:20:22Z,2015,11,19,2015-11-21T10:28:00Z,18 - 65+,Location: United States,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English (US),,Location: United States Interests: Independence or Patriotism Age: 18 - 65+ Language: English (US) Placements: Instagram Feed
P(1)0000013.pdf,32,"Heritage not hate y'all! Our flag has nothing to do with racism! The Federal
                                         Government shouldn't be able to dictate what we can and cannot do. Go
                                         follow Confederate page #1 on lnstagram south united if you are proud of our
                                         southern heritage. God bless Dixie! Confederate page #1 on lnstagram! No
                                         racism, no hate! The south will rise again!
                                         https://twitter.com/March_for_Trump South United GovSpending",https://www.instagram.com/south_united/,12727,375,3,RUB,2016-08-18T08:31:16Z,2016,8,18,NA,18 - 65+,Location: United States: Alabama; Arkansas; Florida; Georgia; Louisiana;,United States,AL,AR,FL,GA,LA,NA,NA,NA,NA,NA,English (US),"Interests: Confederate Flag, Flags of the Confederate
                                         States of America, confederate states america, United Daughters of the
                                         Confederacy, Confederate States of America, Sons of Confederate Veterans,
                                         Confederate States Army, Robert E. Lee, Southern United States or Redneck
                                         Social Club","Location: United States: Alabama; Arkansas; Florida; Georgia; Louisiana; Mississippi; North Carolina; South Carolina; Tennessee; Texas; Virginia Age: 18 - 65+ Language: English (US) Placements: lnstagram Feed People Who Match: Interests: Confederate Flag, Flags of the Confederate States of America, confederate states america, United Daughters of the Confederacy, Confederate States of America, Sons of Confederate Veterans, Confederate States Army, Robert E. Lee, Southern United States or Redneck Social Club"
P(1)0000015.pdf,36,"He's lucky to return home to reunite with his family for the holidays. But he's
                                         just one of a few servicemen to do this. For many of our brave troops
                                         stationed abroad and far from their loved ones. Our brave servicemen and
                                         servicewomen will continue to make sacrifices for our great country while the
                                         VA employees will be having their dinner and laughing at the VA backlog.
                                         Click to Learn More! Veterans USA (@veterans GovSpending",https://www.instagram.com/veterans_us/,143644,496,8339.12,RUB,2016-01-14T07:18:30Z,2016,1,14,NA,13 - 35,Location: United States,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English (US),"Interests: Military, Veterans or Politics","Location: United States Age: 13 - 35 Language: English (US) Placements: lnstagram Feed People Who Match: Interests: Military, Veterans or Politics"
P(1)0000017.pdf,40,"Let's make America great again for the future generations! Click Learn More!
                                         Veterans USA ( @veterans GovSpending",https://www.instagram.com/veterans_us/,12476,25,1203.51,RUB,2016-01-06T03:11:48Z,2016,1,6,NA,14 - 65+,Location: United States,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English (US),,Location: United States Interests: Independence or Patriotism Age: 14 - 65+ Language: English (US) Placements: lnstagram Feed
